Emb_0,Emb_1,Emb_2,Emb_3,Emb_4,Emb_5,Emb_6,Emb_7,Emb_8,Emb_9,Emb_10,Emb_11,Emb_12,Emb_13,Emb_14,Emb_15,Emb_16,Emb_17,Emb_18,Emb_19,Emb_20,Emb_21,Emb_22,Emb_23,Emb_24,Emb_25,Emb_26,Emb_27,Emb_28,Emb_29,Emb_30,Emb_31,Emb_32,Emb_33,Emb_34,Emb_35,Emb_36,Emb_37,Emb_38,Emb_39,Emb_40,Emb_41,Emb_42,Emb_43,Emb_44,Emb_45,Emb_46,Emb_47,Emb_48,Emb_49,Emb_50,Emb_51,Emb_52,Emb_53,Emb_54,Emb_55,Emb_56,Emb_57,Emb_58,Emb_59,Emb_60,Emb_61,Emb_62,Emb_63,Emb_64,Emb_65,Emb_66,Emb_67,Emb_68,Emb_69,Emb_70,Emb_71,Emb_72,Emb_73,Emb_74,Emb_75,Emb_76,Emb_77,Emb_78,Emb_79,Emb_80,Emb_81,Emb_82,Emb_83,Emb_84,Emb_85,Emb_86,Emb_87,Emb_88,Emb_89,Emb_90,Emb_91,Emb_92,Emb_93,Emb_94,Emb_95,Emb_96,Emb_97,Emb_98,Emb_99,Emb_100,Emb_101,Emb_102,Emb_103,Emb_104,Emb_105,Emb_106,Emb_107,Emb_108,Emb_109,Emb_110,Emb_111,Emb_112,Emb_113,Emb_114,Emb_115,Emb_116,Emb_117,Emb_118,Emb_119,Emb_120,Emb_121,Emb_122,Emb_123,Emb_124,Emb_125,Emb_126,Emb_127
0.052074112,-0.12517677,0.06844342,0.06636133,-0.14565632,0.11455617,0.13725255,0.053392578,0.104654625,-0.16045886,-0.097170696,-0.11378752,0.14829129,-0.15821396,-0.10797067,0.043152582,-0.08797677,-0.055324905,0.1122564,0.1513092,-0.0658751,-0.13375361,0.17733763,0.025194915,0.16217452,-0.05771205,0.0035650302,-0.122505054,-0.08173087,-0.100527555,-0.0012603961,0.06892684,-0.078510426,0.061456576,0.07525759,0.0324226,-0.021789232,0.08706839,0.12390704,-0.12059668,0.017829653,0.058520522,-0.011496326,0.091358386,-0.07305707,0.10214376,0.11869034,-0.05227903,0.033261225,-0.049325477,0.12358416,-0.09806544,0.032481547,-0.001951652,-0.053864717,-0.020890485,0.037115328,0.057701662,-0.096611276,0.048679303,-0.065485135,-0.14123131,0.07892125,0.085654214,-0.1059307,0.046972483,0.06782254,0.10852131,-0.02754565,-0.1440578,-0.039229147,0.10543733,-0.12287632,-0.050433595,-0.11476207,0.01337128,-0.05734315,0.06566891,-0.15295607,-0.04570324,-0.045585994,0.012776864,0.010099142,-0.04452623,0.047767352,-0.04284116,-0.0828745,-0.040310826,0.14038172,0.07159098,0.026782656,-0.09959004,-0.076997,-0.048113856,0.11318414,-0.05257492,0.058642883,0.047887057,0.15691663,0.024787745,0.10211819,0.11303306,-0.09013124,0.075871475,0.07434227,0.027525935,0.113254525,-0.017151967,-0.06578251,0.008602358,0.071254544,-0.090608664,-0.061273634,-0.1202241,-0.09763716,-0.04471828,0.06474685,0.044558156,0.016981978,0.12237739,-0.01859702,0.015933206,0.15193509,-0.11034659,-0.13622211,-0.06187399,-0.15059933,0.045709163
0.075436875,-0.05124786,0.09542707,0.0064808573,-0.049789667,0.12662777,-0.06851583,-0.003202533,-0.08416964,-0.03143501,0.0054140924,0.16509923,-0.06345506,0.038065232,0.030323029,-0.05618309,-0.092407584,-0.06566325,0.00930671,0.016353345,-0.09344538,-0.018634878,0.026271854,-0.15129963,0.020995902,-0.1263273,-0.071558036,-0.062723726,-0.0113893505,-0.03610938,-0.028746372,0.15439561,-0.07338924,0.064676076,-0.0011342969,0.180375,-0.17231815,0.06794791,0.10161772,0.017252007,0.20651975,0.12148529,0.06604491,-0.10856466,-0.08162957,-0.026643075,-0.04601944,0.0514376,0.16945551,-0.098642305,0.102348566,-0.09336269,-0.09107519,-0.12639272,0.11693137,0.10371159,0.054712545,-0.13063921,-0.10887303,0.08879128,0.008095001,-0.022183236,0.07274636,0.052039742,-0.11522498,-0.0723082,0.08813134,0.14573368,-0.060008775,0.0005620781,0.048457626,-0.09192296,0.0135733215,-0.13764496,0.05050479,0.114824384,-0.026566043,-0.077121645,0.005721561,0.036776636,0.06782583,-0.19448373,-0.14232104,0.111911364,0.057831187,-0.058771446,-0.18044639,0.07651082,-0.07333295,-0.021767203,-0.1253773,0.0539012,0.013679774,0.13912289,0.17703228,-0.06627907,0.00906092,0.086707406,0.057178903,0.0679437,-0.041333456,0.041092932,-0.035915453,0.030697485,0.15846266,-0.10979738,0.032986496,-0.028014809,0.013999489,0.010379572,-0.05638937,0.04480049,-0.16288047,-0.0153968325,-0.11629801,-0.044616926,-0.06513759,0.021032294,-0.010722501,0.09646825,-0.15346462,0.049635917,0.12432958,0.07154047,-0.034662805,0.09703412,-0.007581279,-0.07265349
-0.110374264,0.050126016,-0.06013103,-0.18735714,0.040346086,-0.0792475,-0.0964383,-0.048983164,0.043290995,0.052787688,-0.063470356,0.19060917,-0.032603692,0.12712774,0.007656004,-0.06606419,-0.007972725,0.044837747,0.010272498,-0.2932443,0.0637382,0.14197314,0.03891433,0.029682126,-0.15617651,-0.06604185,0.08110792,0.13464862,0.07676533,0.08531922,-0.18374048,-0.0037525715,0.08026363,-0.10672135,-0.080177546,-0.13669893,0.04013749,-0.12932102,-0.064089775,0.08772852,0.013535785,0.058861487,0.07414317,-0.14971158,-0.0011380176,-0.07273248,-0.12486951,0.010275326,-0.030532293,0.06501777,-0.05822502,0.045080956,-0.08127854,-0.010823139,0.06730586,0.038390156,-0.06735998,0.03450299,0.0725309,-0.09522101,-0.010533506,0.085384116,-0.031381384,-0.013904561,0.03586192,0.008280272,-0.09460944,-0.12185899,-0.0025193456,0.18785998,-0.0040176827,-0.067477874,0.015624327,0.082435004,0.08006549,0.0430143,0.061179448,-0.02292323,0.073714875,0.012405135,-0.009459894,0.014953445,-0.15708573,0.079613835,-0.121122755,-0.007250514,-0.030557236,-0.006064022,-0.020775145,-0.14578849,-0.004975308,0.04882544,0.07355395,0.08018595,-0.16332026,0.079371355,-0.046945717,-0.09801086,0.06906828,-0.07005572,-0.0075737694,-0.06663168,-0.05338228,-0.04568149,-0.02190997,0.064629026,-0.118248,0.03490556,0.044560555,0.01228671,-0.006583218,-0.032023773,0.0018369996,0.16337274,-0.14352268,0.035256263,-0.10881084,0.07141216,0.06097506,-0.075340815,0.08975036,-0.026042953,-0.16573653,0.1376834,0.19205484,0.14927295,0.07057683,-0.115188204
0.12260049,-0.08656529,0.1393474,0.0013099168,-0.082878344,0.08958176,0.052061174,0.017665267,-0.04069996,0.009703257,-0.06288473,-0.025821596,-0.03366939,-0.09355089,0.089546934,-0.060386784,-0.11452158,-0.05979045,0.047128532,0.03249927,-0.11820005,-0.07599785,0.057663966,-0.07576663,0.09148349,-0.12471935,-0.01661735,-0.16631371,-0.05663451,-0.01857936,-0.05108774,0.16080984,-0.17701946,0.08970061,-0.011097558,0.0983044,-0.08930962,0.1228424,0.12602748,-0.034667406,0.14830886,0.1283099,0.050197124,-0.016003324,-0.091041975,-0.037042752,-0.019198228,-0.06872611,0.06709429,-0.18568437,0.077821545,-0.06303269,-0.14856413,-0.08402063,0.06411149,0.13911146,0.022449216,-0.094037175,-0.13039173,0.056513034,-0.041049585,-0.03603339,0.04858164,0.053014297,-0.17175142,-0.10428035,0.06872943,0.16980913,-0.027088596,-0.10158999,0.09272959,-0.014306622,-0.0060857204,-0.14080802,0.012417274,0.09798739,-0.041903,-0.06649228,-0.094041325,0.0070742327,0.07096996,-0.07179318,-0.10054066,0.12308549,0.06863789,-0.05094101,-0.16022192,0.091517106,-0.031809915,0.026709536,-0.06231261,0.0026289637,-0.053850997,0.14421064,0.113765515,-0.07009346,0.0775299,0.023873867,0.0065180208,0.12263502,0.021057643,0.099276185,-0.096411735,0.10661536,0.1432512,-0.12057172,0.05483742,-0.015858578,-0.0028835358,-0.0037559823,-0.048954885,-0.0023135813,-0.13108113,-0.014522204,-0.17725591,-0.018393874,0.035924032,0.006993282,0.016977092,0.10357959,-0.1648962,0.047428716,0.14763696,0.07499982,-0.062728494,0.021866491,-0.12743254,-0.010529805
-0.0072507523,-0.06398959,-0.01054511,0.08988729,-0.052722357,0.010159067,0.15187535,0.07043442,0.14920214,-0.1197982,-0.116879016,-0.09221359,0.14082414,-0.091009334,-0.11033832,0.14206901,-0.04653972,0.0004373239,0.055672977,0.11463358,0.043089528,-0.10766109,0.078368425,0.120300435,0.061940808,0.015422159,0.06403266,-0.024834344,-0.022054525,-0.02480999,0.088171974,-0.10521109,0.017836139,0.028511478,0.123861626,-0.077532224,0.14695212,-0.008668218,0.010799769,-0.110715404,-0.08490815,-0.059666727,-0.0963661,0.11760959,-0.010192494,0.07731382,0.14886473,-0.09458236,-0.07741753,0.040011343,0.0072097164,-0.027329989,0.12213129,0.086784534,-0.13154036,-0.1482848,-0.035269365,0.103210226,0.018620307,-0.053947914,-0.08797855,-0.056457978,0.012015574,0.054269407,0.0022795796,0.101690754,-4.3908032e-05,0.04014816,0.063016936,-0.0799312,-0.119422,0.14450546,-0.12663479,0.06569999,-0.16227293,-0.10070545,-0.03419111,0.14873454,-0.093962215,-0.08670267,-0.09311388,0.13530023,0.110340394,-0.12200014,-0.029946804,-0.012367219,0.04508842,-0.11076709,0.14139722,0.090586804,0.10522435,-0.09333284,-0.052364077,-0.14061426,-0.041403968,-0.029776778,0.067600265,0.029757954,0.13545561,-0.097433716,0.18090434,0.056713223,-0.087984525,0.056802902,-0.026754415,0.14076933,0.030786114,-0.055413853,-0.032032255,0.034578364,0.085231945,-0.07220144,0.054048594,-0.14457625,0.04751078,-0.0475234,0.09188478,0.010962873,0.05808357,0.0418665,0.08257812,0.016639588,0.047197435,-0.097227424,-0.12913837,-0.11921905,-0.09244867,0.115239814
0.09970225,-0.12425432,0.081915766,0.07010177,-0.14469165,0.0934847,0.08004653,0.03791875,0.023454113,-0.052214157,-0.050495837,-0.039734174,0.013247562,-0.059215046,-0.023832023,0.001580015,-0.17470962,-0.0787584,0.067548476,0.13746406,-0.087459624,-0.1348595,0.096637,-0.069140546,0.12741707,-0.13549086,0.011956042,-0.16155247,-0.070781484,-0.03982083,0.032502215,0.09457837,-0.108642764,0.1458645,0.013810013,0.12175581,-0.10969074,0.14222755,0.1167407,-0.08403812,0.104391895,0.058752976,0.034493335,0.03735573,-0.07153307,0.06603404,0.0594,-0.04009629,0.09154116,-0.10277343,0.12921125,-0.15845527,-0.10204819,-0.06368447,0.044157326,0.026416544,0.04729319,-0.051760565,-0.10319686,0.07622545,-0.036651142,-0.09705475,0.05144334,0.14863461,-0.14283752,-0.0704473,0.114118844,0.15237214,-0.032463167,-0.10018047,0.031831015,0.0073222867,-0.06289437,-0.1516688,-0.006531412,0.040712222,-0.08198358,0.016832832,-0.112869725,-0.017514568,0.075925075,-0.08801738,-0.047750514,0.06131923,0.085252635,-0.07323519,-0.15532535,0.06373821,0.05831193,0.07283003,-0.0004007572,0.00025581365,-0.06995087,0.037402973,0.16816624,-0.10727557,0.058365393,0.07626201,0.117734976,0.07396487,0.077757806,0.10356848,-0.10453367,0.08504353,0.11477459,-0.025692476,0.09561921,-0.055371884,-0.026102163,0.018966861,-0.0206355,-0.034380686,-0.1329893,-0.11062164,-0.09286693,-0.028833428,0.070351124,0.0029795684,-0.018736575,0.1653755,-0.12693812,0.05801235,0.09699429,-0.038899075,-0.13206448,-0.016838787,-0.13469914,0.028224694
0.046262562,-0.13735285,0.09096489,-0.032464106,-0.09071364,0.06390075,0.0048047467,0.0057264687,-0.1017597,-0.024654344,-0.02580107,0.06354815,-0.0990795,0.06811321,0.032203417,-0.050235778,-0.06544646,-0.04777107,-0.031108089,0.055827796,-0.118645795,-0.022023782,0.052260455,-0.03457742,0.14391725,-0.06669813,-0.031569414,-0.08269954,-0.025685849,-0.0072658043,-0.08248309,0.18095875,-0.12777717,0.030164123,-0.031730067,0.14877051,-0.23523496,0.08755484,0.122968614,-0.02096912,0.11334657,0.12792085,0.05102411,-0.013545974,-0.08005993,0.012479002,0.011829717,0.04568859,0.10232797,-0.1368674,0.10823648,-0.051786896,-0.16314298,-0.15881918,0.19280003,0.16136844,0.08736424,-0.0790493,-0.11934054,0.05471594,-0.02225666,-0.007642623,0.02387134,0.06999003,-0.082148,-0.12849744,0.09022957,0.12556961,-0.011398699,-0.012563107,0.12636875,-0.030053217,0.075950906,-0.16069494,0.075904034,0.12102602,-0.032161426,-0.09322623,-0.052138317,0.04704108,0.03893634,-0.17932084,-0.13556005,0.08908133,0.0919398,-0.0068498473,-0.16320814,0.08181776,-0.036935445,0.011390393,-0.08277813,0.04332169,0.037552755,0.15731889,0.09838686,-0.08708625,0.01142207,0.094482206,0.051762555,0.14657767,-0.03635412,0.018109068,-0.0046017673,0.04488047,0.06278696,-0.044385694,0.0651854,-0.07785573,-0.009783138,-0.0045424146,-0.09908586,0.043324433,-0.15663852,-0.05577834,-0.12662311,-0.043252494,0.0028821363,-0.005832447,-0.03926745,0.089226946,-0.0882538,0.011818583,-0.08489929,0.1330688,-0.06659822,0.12214422,-0.04971312,-0.06738917
-0.08923961,0.079604514,-0.05251495,-0.12681745,0.086386144,-0.078407176,-0.09572715,-0.06157338,-0.09412491,0.096271925,0.07743323,0.06991273,-0.083989576,0.079502426,0.017952992,-0.13177773,0.11468134,0.06761582,-0.06511184,-0.14453949,0.028002769,0.17373855,-0.16053928,-0.0006624137,-0.11200209,0.0841157,-0.0071705515,0.112313785,0.06901589,0.07396094,-0.14134954,-0.0020030087,0.082000256,-0.106282026,-0.09939446,-0.014080784,0.028355513,-0.12165314,-0.11461705,0.05927997,-0.0046038083,-0.056449484,0.06367984,-0.08862414,-0.0060186274,-0.12878475,-0.13060386,0.060430374,-0.04948445,0.11163818,-0.051637758,0.15137152,-0.022393052,-0.011780085,0.031540517,0.0077752243,-0.023547271,-0.028648755,0.06257726,-0.05490244,0.044249006,0.11057268,-0.04784024,-0.13836873,0.097816266,-0.019771222,-0.09570513,-0.08829768,-0.006563049,0.1595371,0.03257862,-0.055703267,0.070477,0.051447842,0.069552824,-0.0071472195,0.077431366,-0.096663624,0.15808378,0.033780225,-0.017877286,-0.01884825,-0.02724351,0.034285504,-0.09267838,0.035262443,0.10733177,0.020641664,-0.10426076,-0.103227265,-0.06418372,0.0139003545,0.1266977,0.09481968,-0.12070797,0.109182164,-0.081322566,-0.08860894,-0.13484041,0.024138318,-0.13897766,-0.1402457,0.1651585,-0.10717345,-0.035702426,-0.028409421,-0.05694297,0.07257036,0.056396462,-0.022794496,-0.042680528,0.11187277,0.030721571,0.14897512,0.049166426,0.036725592,-0.17143886,-0.0017822491,-0.0065120603,-0.14386386,0.08222545,-0.044975303,-0.12670878,0.07106334,0.1414734,0.08231902,0.16335525,-0.08311712
-0.10706258,0.0964003,-0.09012292,-0.0502233,0.14063707,-0.09650394,-0.08706397,-0.027228164,-0.03341534,0.037493225,0.034872126,0.035167977,-0.012159691,0.07201763,-0.012102871,0.034644887,0.14951459,0.09546034,-0.077386595,-0.089223914,0.077134274,0.07434716,-0.111893974,0.105885796,-0.10992104,0.14005908,0.010042182,0.15819135,0.07463987,0.06542826,-0.010284443,-0.090526134,0.16538191,-0.13363174,0.010938922,-0.09932958,0.11140843,-0.13343014,-0.1437515,0.04318921,-0.07893045,-0.13043894,-0.040279195,-0.005183812,0.04184879,-0.052600984,-0.04784456,0.042570982,-0.13175264,0.1348643,-0.12988095,0.14740998,0.12887469,0.07510798,-0.07183124,-0.05040629,-0.04407996,0.030721966,0.09767885,-0.10176098,-0.0056193713,0.13046888,-0.04350072,-0.124517106,0.15774556,0.07652701,-0.11658625,-0.13237134,0.06996206,0.09362932,-0.065506585,-0.013217035,0.043030452,0.1101429,-0.027632719,-0.09170657,0.07427083,-0.0048760828,0.092886575,-0.0038131238,-0.09309375,0.07979809,0.07415275,-0.10210009,-0.11112297,0.08627276,0.13986619,-0.058892693,-0.05740785,-0.04958691,0.026897801,0.013813959,0.07922207,-0.02156992,-0.13903682,0.120718345,-0.058291644,-0.049200248,-0.088957,-0.10624612,-0.023769923,-0.14273362,0.103232756,-0.09474274,-0.11475595,0.06531577,-0.093204185,0.061378505,0.05819877,0.0014493918,0.025871338,0.07002482,0.11062766,0.043457128,0.13343492,0.013828491,-0.07673539,0.0114689,0.052995104,-0.12772395,0.14000669,-0.07555934,-0.09531383,0.04094853,0.10983087,-0.01346594,0.112706475,0.0015019742
0.07764291,-0.10109875,0.15683575,0.023484822,-0.05809147,0.11308796,0.021236809,-0.020053828,-0.00832914,-0.034009367,-0.0139090335,0.040775213,-0.005662066,-0.08856125,0.020647503,-0.09807685,-0.13312137,-0.004867454,0.08731445,0.024758775,-0.101234175,0.08807879,0.004144845,-0.06649836,0.05765589,-0.10770322,-0.052578945,-0.05917974,-0.056879617,-0.028495338,-0.09971831,0.14009854,-0.14471465,0.029284716,-0.07423529,0.052111525,-0.09118514,0.043903753,0.041910935,0.03077155,0.073178746,0.11656123,0.08645925,-0.1283641,-0.089116685,-0.06565077,-0.063036464,-0.029515527,0.22632407,-0.18612295,0.15235887,-0.10239894,-0.13590808,-0.10078948,0.09337123,0.046464667,0.043313153,-0.059798256,-0.09728596,0.06651988,-0.01405051,-0.09104678,0.049936537,0.13100028,-0.13197467,-0.092307664,0.072789334,-0.014118993,-0.09932755,-0.006884791,-0.027444664,-0.081310175,-0.07375675,-0.08513764,0.019586118,0.077797756,-0.021839501,-0.15181291,0.055892818,0.060397286,0.025227627,-0.14460132,-0.098891474,0.107171215,0.053233027,-0.10070415,-0.13154791,0.11511934,-0.053224552,-0.00811005,-0.111865036,0.08031836,-0.05736159,0.058206346,0.092131644,-0.094879866,0.025645548,0.011201726,-0.06568239,0.16492014,-0.05741003,0.15267903,-0.041049786,0.08321035,0.11380476,-0.10521236,0.12542218,-0.10455568,-0.09346973,0.026108753,-0.1026244,0.04467165,-0.15652688,0.098443605,-0.123800494,-0.09274998,-0.031006213,0.0029163663,-0.0803684,0.10688906,-0.13593937,0.044892665,0.13775098,-0.054316074,0.04995845,0.08985326,0.011589791,-0.084138975
0.008671283,-0.101145215,0.060102172,0.072074935,-0.10900239,0.061416067,0.14177924,0.044058893,0.15596636,-0.13239354,-0.11803011,-0.15910874,0.17549318,-0.13686864,-0.121140495,0.109991185,-0.08765751,-0.023914136,0.09754743,0.13829857,-0.02194415,-0.1142472,0.11778085,0.113749735,0.12985499,-0.03796882,0.029250382,-0.093283616,-0.07013441,-0.07057825,0.034012374,-0.032524638,-1.2606931e-05,0.060171343,0.10307336,-0.02418936,0.066558115,0.062396847,0.060661845,-0.15380579,-0.03353476,-0.020980904,-0.075241394,0.111077644,-0.049476013,0.12268896,0.122389294,-0.07564898,-0.026350325,-0.02826541,0.05426526,-0.06791394,0.042954423,0.04489966,-0.11475035,-0.111355945,0.001395927,0.059786487,-0.053394925,-0.0037211566,-0.10289028,-0.10715284,0.053224176,0.087766185,-0.05262793,0.0503873,0.041128177,0.10423176,0.024861088,-0.136164,-0.100893416,0.14301306,-0.12923518,0.0031656432,-0.16655993,-0.043389224,-0.0756827,0.11394017,-0.1397389,-0.06852865,-0.06460371,0.05908912,0.059774414,-0.110923,0.03149879,-0.027637227,-0.010581986,-0.056234103,0.13250412,0.098093614,0.082567915,-0.09886892,-0.093872614,-0.09084532,-0.002827416,-0.06410832,0.08895848,0.051598564,0.09634035,-0.029738313,0.17101496,0.07753538,-0.11039241,0.08717169,0.038780697,0.0883239,0.07975715,-0.0471026,-0.07936261,0.025839237,0.049894106,-0.084036134,-0.02091999,-0.14089811,-0.025877235,-0.068311825,0.09824894,0.013486772,0.029154815,0.08652202,0.00535858,0.026309881,0.13282843,-0.11491619,-0.11711477,-0.11040323,-0.1167494,0.085120976
-0.10318117,0.11945298,-0.051409476,-0.10801922,0.105485335,-0.075373754,-0.15129697,-0.06186478,-0.103484206,0.07648066,0.05598248,0.07076379,-0.10585818,0.10551033,0.036378656,-0.03385626,0.17958446,0.12180874,-0.08732095,-0.16000159,0.039469033,0.13720958,-0.14780371,0.026896339,-0.14258447,0.09959184,-0.016038325,0.12912783,0.07082015,0.053659312,-0.06939505,-0.034632348,0.102807425,-0.12642124,-0.048829827,-0.085328594,0.046111498,-0.16940488,-0.09936079,0.05924043,-0.037016124,-0.021710144,0.012492256,-0.058531627,0.02299132,-0.064902775,-0.11597977,0.04286242,-0.06258959,0.0963899,-0.08642222,0.14832066,0.044951264,0.012526007,-0.032115187,0.0390218,-0.018390415,0.0037449875,0.09433601,-0.044126734,0.025444023,0.15867771,-0.027267473,-0.14262855,0.14923947,0.0044917455,-0.10909186,-0.1547042,-0.00016721949,0.088990964,0.0047710063,-0.075717546,0.046529546,0.10234432,0.027686292,-0.024513321,0.08924995,-0.06422579,0.15019645,0.015063647,-0.07051708,0.012315247,-0.03671937,-0.025687022,-0.08648989,0.07512061,0.063195966,0.017448911,-0.059357785,-0.08183147,-0.019151334,0.037287395,0.0897008,0.06430723,-0.14754508,0.14448693,-0.11015782,-0.09235182,-0.13613555,0.0005665555,-0.09920241,-0.14373437,0.1320948,-0.08202264,-0.088026315,-0.00598588,-0.07324152,0.069381915,0.040754814,0.0038985356,0.0042104684,0.08278061,0.054336075,0.09610745,0.08530031,0.022363821,-0.101689965,0.015916497,0.027635721,-0.13397303,0.12622106,-0.08760816,-0.13801071,0.09868818,0.1335639,0.017107207,0.10634352,-0.09194063
